state,population,proportion
Uttar Pradesh,238875000,0.1700285641
Bihar,129205000,0.09196667974
Maharashtra,127684000,0.09088404888
West Bengal,99723000,0.07098172055
Madhya Pradesh,87954000,0.06260467745
Rajasthan,82188000,0.05850050288
Tamil Nadu,77165000,0.05492518743
Gujarat,72653000,0.05171359609
Karnataka,68256000,0.04858386047
Andhra Pradesh,53402000,0.03801094874
Odisha,46663000,0.0332142036
Jharkhand,40129000,0.02856337519
Telangana,38317000,0.02727361377
Assam,36159000,0.02573757341
Kerala,35967000,0.02560090995
Punjab,30992000,0.02205976037
Haryana,30694000,0.02184764729
Chhattisgarh,30638000,0.02180778711
Delhi,21884000,0.01557678743
Jammu and Kashmir,13733000,0.009774996423
Uttarakhand,11795000,0.008395549611
Himachal Pradesh,7518000,0.005351228654
Tripura,4194000,0.002985242482
Meghalaya,3387000,0.002410828871
Manipur,3260000,0.002320431686
Nagaland,2258000,0.001607219247
Puducherry,1695000,0.001206482119
Arunachal Pradesh,1580000,0.0011246264
Goa,1585000,0.001128185344
Dadra and Nagar Haveli and Daman and Diu,1387000,0.0009872511497
Mizoram,1252000,0.0008911596535
Chandigarh,1247000,0.0008876007092
Sikkim,697000,0.0004961168359
Andaman and Nicobar,404000,0.0002875626997
Ladakh,302000,0.0002149602359
Lakshadweep,69000,0.00004911343138